city,pollutant,ts,yr_1990,yr_1991,yr_1992,yr_1993,yr_1994,yr_1995,yr_1996,yr_1997,yr_1998,yr_1999,yr_2000,yr_2001,yr_2002,yr_2003,yr_2004,yr_2005,yr_2006,yr_2007,yr_2008,yr_2009,yr_2010,yr_2011,yr_2012,yr_2013,yr_2014,latitude,longitude,name,desc,color,source,precision
Birmingham,SO2,99th Percentile,75,81,89,113,85,65,54,60,82,92,149,63,50,53,56,70,70,50,69,41,33,31,36,22,17,33.543682,-86.779633,Birmingham,"Birmingham, AL",,Bing Maps,city/town
Pittsburgh,SO2,99th Percentile,153,144,154,144,172,138,106,111,119,107,111,117,116,116,104,104,91,127,90,98,70,65,49,36,49,40.4383392,-79.997467,Pittsburgh,"Pittsburgh, PA",,Bing Maps,city/town
Philadelphia,SO2,99th Percentile,76,67,61,66,75,58,55,50,50,47,48,46,49,51,40,44,40,37,33,29,23,15,11,12,11,39.9522781,-75.1624527,Philadelphia,"Philadelphia, PA",,Bing Maps,city/town
New York,SO2,99th Percentile,75,67,66,49,60,45,53,56,44,51,47,50,46,49,48,49,40,35,33,30,22,24,18,11,10,40.7820015,-73.8317032,New York,"New York, NY",,Bing Maps,city/town
Louisville,SO2,99th Percentile,180,170,136,150,149,127,125,109,133,128,139,136,124,146,143,151,158,183,130,110,111,37,35,30,43,38.2548599,-85.7664032,Louisville,"Louisville, KY",,Bing Maps,city/town
Houston,SO2,99th Percentile,80,70,69,68,59,69,65,67,53,59,59,51,54,58,51,56,51,40,35,25,25,24,16,16,16,29.7604504,-95.3697815,Houston,"Houston, TX",,Bing Maps,city/town
Harrisburg,SO2,99th Percentile,41,45,49,44,47,50,43,40,33,34,38,33,30,38,34,37,35,29,45,27,18,10,9,9,9,40.2599297,-76.8823395,Harrisburg,"Harrisburg, PA",,Bing Maps,city/town
Altoona,SO2,99th Percentile,119,100,94,76,103,70,75,73,59,71,62,68,51,62,61,72,48,56,55,51,36,32,28,33,33,40.5071907,-78.3989029,Altoona,"Altoona, PA",,Bing Maps,city/town
Cleveland,SO2,99th Percentile,142,163,141,149,142,105,104,91,80,98,65,64,51,70,55,76,62,61,55,49,48,49,70,38,38,41.5047493,-81.6907196,Cleveland,"Cleveland, OH",,Bing Maps,city/town
San Francisco,SO2,99th Percentile,33,27,27,30,30,32,26,30,28,36,27,25,27,19,20,18,23,21,22,14,11,14,10,8,13,37.7771187,-122.4196396,San Francisco,"San Francisco, CA",,Bing Maps,city/town
Los Angeles,SO2,99th Percentile,20,20,10,10,12,12,12,12,11,13,12,10,19,14,12,10,10,8,8,6,6,4,2,3,4,34.0534897,-118.2453232,Los Angeles,"Los Angeles, CA",,Bing Maps,city/town
Indianapolis,SO2,99th Percentile,98,110,90,123,102,88,74,80,80,74,78,86,97,100,104,91,98,87,54,68,82,61,74,60,82,39.7669106,-86.1499634,Indianapolis,"Indianapolis, IN",,Bing Maps,city/town
Erie-Meadville,SO2,99th Percentile,203,134,157,179,143,124,122,120,151,171,96,124,88,85,72,80,44,38,38,36,28,20,19,12,12,42.129,-80.085,Erie-Meadville,-,,Bing Maps,
Wheeling,SO2,99th Percentile,286,286,286,299,289,278,241,309,290,284,177,191,137,154,175,157,147,161,113,61,101,79,55,49,43,40.0639801,-80.7214127,Wheeling,"Wheeling, WV",,Bing Maps,city/town
Salt Lake,SO2,99th Percentile,199,136,73,74,75,62,35,29,28,28,27,35,22,25,33,32,31,33,29,28,26,18,20,26,26,40.7603111,-111.8882217,Salt Lake,"Salt Lake City, UT",,Bing Maps,city/town
